registrationNumber,fuelType,monthOfFirstRegistration
SGZ1223,Hybrid,2020-03-01 00:00:00 UTC
UIG7779,Hybrid,2020-03-01 00:00:00 UTC
TCZ3535,Hybrid,2020-03-01 00:00:00 UTC
OXZ2137,Hybrid,2020-03-01 00:00:00 UTC
NXZ8475,Pure electric,2020-03-01 00:00:00 UTC
RGZ3649,Hybrid,2020-03-01 00:00:00 UTC
RRZ2646,Pure electric,2020-03-01 00:00:00 UTC
XHZ5310,Hybrid,2020-03-01 00:00:00 UTC
OXZ2941,Hybrid,2020-03-01 00:00:00 UTC
DSZ9580,Pure electric,2020-03-01 00:00:00 UTC
UIG8318,Hybrid,2020-03-01 00:00:00 UTC
NIB20,Hybrid,2020-03-01 00:00:00 UTC
YIA455,Hybrid,2020-03-01 00:00:00 UTC
RGZ6621,Pure electric,2020-03-01 00:00:00 UTC
WLZ6262,Hybrid,2020-03-01 00:00:00 UTC
AEZ3300,Hybrid,2020-03-01 00:00:00 UTC
AYZ2595,Hybrid,2020-03-01 00:00:00 UTC
OXZ2118,Hybrid,2020-03-01 00:00:00 UTC
XHZ5614,Hybrid,2020-03-01 00:00:00 UTC
RIL2135,Diesel,2020-03-01 00:00:00 UTC
RRZ7514,Diesel,2020-03-01 00:00:00 UTC
UJI8,Diesel,2020-03-01 00:00:00 UTC
ELZ1504,Diesel,2020-03-01 00:00:00 UTC
JIB765,Diesel,2020-03-01 00:00:00 UTC
RGZ4708,Diesel,2020-03-01 00:00:00 UTC
RRZ3178,Diesel,2020-03-01 00:00:00 UTC
XHZ4994,Diesel,2020-03-01 00:00:00 UTC
DSZ9913,Diesel,2020-03-01 00:00:00 UTC
AYZ2575,Diesel,2020-03-01 00:00:00 UTC
AYZ2938,Diesel,2020-03-01 00:00:00 UTC
FIL2414,Diesel,2020-03-01 00:00:00 UTC
GIG3003,Diesel,2020-03-01 00:00:00 UTC
HAZ4880,Diesel,2020-03-01 00:00:00 UTC
LEZ52,Diesel,2020-03-01 00:00:00 UTC
NGZ7813,Diesel,2020-03-01 00:00:00 UTC
NXZ6118,Diesel,2020-03-01 00:00:00 UTC
OGZ1696,Diesel,2020-03-01 00:00:00 UTC
OXI226,Diesel,2020-03-01 00:00:00 UTC
OXZ3493,Diesel,2020-03-01 00:00:00 UTC
OXZ3541,Diesel,2020-03-01 00:00:00 UTC
PGZ9142,Diesel,2020-03-01 00:00:00 UTC
PGZ9266,Diesel,2020-03-01 00:00:00 UTC
PGZ9338,Diesel,2020-03-01 00:00:00 UTC
RGZ2563,Diesel,2020-03-01 00:00:00 UTC
RGZ2646,Diesel,2020-03-01 00:00:00 UTC
RGZ3496,Diesel,2020-03-01 00:00:00 UTC
RGZ3546,Diesel,2020-03-01 00:00:00 UTC
RGZ3780,Diesel,2020-03-01 00:00:00 UTC
RGZ3787,Diesel,2020-03-01 00:00:00 UTC
RRZ1795,Diesel,2020-03-01 00:00:00 UTC
RRZ3054,Diesel,2020-03-01 00:00:00 UTC
RRZ3064,Diesel,2020-03-01 00:00:00 UTC
RRZ3375,Diesel,2020-03-01 00:00:00 UTC
RRZ3384,Diesel,2020-03-01 00:00:00 UTC
RRZ3386,Diesel,2020-03-01 00:00:00 UTC
RRZ3391,Diesel,2020-03-01 00:00:00 UTC
RRZ3581,Diesel,2020-03-01 00:00:00 UTC
SAZ678,Diesel,2020-03-01 00:00:00 UTC
UIG8546,Diesel,2020-03-01 00:00:00 UTC
XDZ9,Diesel,2020-03-01 00:00:00 UTC
